일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),일조율,평균 최저초상온도(°C),최저초상온도(°C),평균지면온도(°C),배추가격
Jan-97,0.7,6.3,-4.7,15.6,-9.2,-5.7,64,24,6,3,2.7,12.1,22.7,59.91,-6.4,-10.8,1.5,234
Feb-97,2.8,9.4,-3.6,17.3,-10.3,-4.7,60,20,17.5,11,2.6,11.4,20.1,51.88,-5.5,-12.2,4.6,233
Mar-97,7.5,13.9,1.6,19,-5.9,0.4,63,20,95,44,2.4,9.3,20.8,53.65,0,-8.2,9.6,280
Apr-97,12.1,18.7,5.5,24.1,-2.6,5.2,66,20,112.5,53,2,8.1,14.9,55.12,4.1,-4.2,15.6,369
May-97,17.4,22.7,12.5,27.1,3,11.9,72,19,86,44.5,2.7,9.7,16,48.38,11.1,1.6,21.6,324
Jun-97,22.4,28,17.7,31.8,11.5,16.9,73,32,168.5,77,2.4,8.4,14.2,49.02,16.3,9.2,27.4,416
Jul-97,25.1,29.3,21.9,34,17.4,21,79,49,257,89.5,2.6,9.6,18.7,36.49,20.9,16.5,28.2,455
Aug-97,25.7,30.2,21.9,33.1,18,20.7,75,43,238.5,85,2.4,10.5,18.7,48.2,20.8,16.9,29,600
Sep-97,20.8,27,15.3,32.8,6.3,13.9,66,28,16,10,1.9,8.6,18.5,58.6,14.1,5.1,24.9,412
Oct-97,14.9,21.6,7.5,27.1,2.4,7,61,23,7,3.5,2,8.3,20.5,62.33,5.9,0.6,18.8,275
Nov-97,10.9,16.4,5,22.9,-2.6,4.4,65,36,145,64.5,2.4,13.8,19.4,36.03,3.6,-4.1,11.4,286
Dec-97,4.7,9.8,-0.2,16.2,-6.8,-1.5,66,27,72.7,58,2,10.8,22.3,42.28,-1.9,-9.3,4.5,298
Jan-98,2.7,7.2,-1.9,13.2,-9.9,-3.8,64,31,43.5,13.5,2.3,8.5,20.2,36.08,-3.8,-12.7,3.1,271
Feb-98,5.4,11.2,-0.5,21.7,-7.8,-1.7,62,27,34.5,26,2.8,11.9,19.2,45.36,-2.5,-10.1,6.2,297
Mar-98,7.6,13.6,1.8,21.5,-3.4,0,60,21,104.5,78,2.6,10.1,20.2,48.94,0.1,-5.2,9.4,402
Apr-98,15.2,20.4,10.9,27.2,0.6,9.6,70,34,134.5,44.5,2.7,11.7,19.3,37.8,9.5,-0.8,17.8,407
May-98,18,23.5,12.8,28.7,9,11.1,67,22,82,20,2.4,11.5,18.8,35.32,11,6.6,21.2,313
Jun-98,20.9,24.6,18.1,29.9,12.3,15.1,70,31,381.5,95,3.2,14.3,21,25.4,16.6,10.3,23.4,232
Jul-98,25.2,28.5,22.6,31,20.6,19.3,70,49,244,102.5,3.4,10.1,16.4,35.86,21.5,19.2,28,370
Aug-98,25.8,29.7,22.6,32.2,17.4,20.9,75,42,192.5,103,2.3,8.9,20.6,32.44,21.7,16.4,28.8,710
Sep-98,22.3,27.8,17.6,31.6,12.1,16.5,71,25,394,236,1.8,17.8,27.9,48.78,16.6,10.2,26.5,1038
Oct-98,17.3,23.3,11.7,27.4,5.9,11.6,71,24,44,25.5,2,9.2,14.6,56.15,10.3,4.6,19.6,619
Nov-98,9.8,16.5,3.2,23,-1.8,4,69,24,26,7,1.9,13.5,23.5,65.76,1.4,-4.6,11.3,359
Dec-98,4.3,11.1,-1.8,17.5,-6.8,-2.2,65,16,4,2,2,8.9,15.4,62.65,-4.1,-9.5,4.5,322
Jan-99,2.6,8.1,-2.5,15.5,-6.6,-3.4,67,18,39.2,24,2,8.9,17.5,52.15,-4.9,-10,3.2,284
Feb-99,3.6,9.4,-1.5,16.6,-7.7,-2.7,66,18,23.5,6.5,2.4,11.6,21.6,55.9,-4,-10.8,4.7,302
Mar-99,8,13.7,2,19,-3.3,1.3,65,15,130,60.5,2.6,9.2,17.4,38.01,-0.1,-6.8,9.4,280
Apr-99,13,19.5,6.9,25.9,-0.8,6.2,66,16,62.5,51.5,3.1,12.3,18.2,57.23,4.7,-3.4,18.8,228
May-99,17,23.1,11.1,26.3,4.9,10.7,69,21,99.5,33.5,2.6,13.7,17.3,61.17,9,2.7,24.4,215
Jun-99,21.9,27.1,17.5,31.5,14.3,16.5,73,21,120.5,40,2.3,13.5,19.5,44.76,15.9,12.2,25.6,204
Jul-99,24.1,27.7,21.3,31.2,16.4,19.5,76,45,342,117,3,15.5,17.6,27.41,19.9,14.8,26.8,288
Aug-99,25.2,29.2,21.9,32.6,19.1,20.8,77,51,363,145,2.6,22.7,35.9,35.77,20.8,17.7,27.8,567
Sep-99,23.5,28.1,19.7,31.3,10.9,18.5,75,26,301,79.5,2.3,13.5,17.4,36.66,18.8,10,25.2,566
Oct-99,15.5,22.1,9.6,27.6,2.8,8.7,66,21,93.5,54,2.1,12.3,17.5,48.9,7.9,1,17.4,691
Nov-99,9.9,16.4,4.2,22.3,-1.1,3,63,24,29.5,21.5,2,12.9,18.3,55.79,1.3,-4.6,9.9,589
Dec-99,3.8,9.8,-2.2,15.6,-10.2,-3.3,61,20,8.9,4.3,2,12.4,20,59.82,-5.8,-12.4,3.6,514
Jan-00,2.8,6.7,-1.2,15,-8,-4.6,59,22,25.3,6.5,2.9,16.1,18.9,40.87,-4.7,-12.2,2.5,619
Feb-00,1.6,6.7,-3.2,12.7,-7.4,-6.6,56,19,8.4,2.5,2.7,16.3,24.8,62.22,-7,-10.8,2,815
Mar-00,6.9,13.8,-0.1,19.1,-7.3,-1.5,58,14,33,20,2.9,17.5,27.7,60.39,-4.1,-11.3,7.4,852
Apr-00,11.8,19.2,4.1,23.8,-2.9,2.4,56,14,8.5,3.5,2.8,14.8,20.8,60.15,0.6,-6.3,14.4,783
May-00,17,23.6,11,33.1,2.5,9.1,63,13,39.5,13.5,2.5,14.6,18.7,55.84,8,-1.6,20.3,406
Jun-00,21.7,26.6,17.5,30.7,12.5,14.2,64,17,243,68.5,2.4,10.5,13.5,38.09,15.4,9.4,23.5,290
Jul-00,26,30.2,22.8,32.7,19.7,20.3,72,36,224.5,79,2.6,15.8,19.7,45.36,21.8,17.6,28.8,447
Aug-00,26.5,31.1,22.4,34,17.8,21.5,75,39,369,99.5,2.4,19.9,27.8,,21.3,16.8,,453
Sep-00,20.5,25.6,15.8,30.6,8.6,15.2,73,22,296.5,136,1.9,16.4,19.4,,14.5,6.4,,600
Oct-00,16,21.9,10.4,26.9,3.4,8.8,65,18,32.5,16,2.1,13.1,17.2,36.71,8.2,-0.7,,500
Nov-00,8.6,15.4,2.8,23.8,-5.5,2.3,67,16,50,13.5,2.1,13.2,16,53.04,-0.6,-10.6,,268
Dec-00,3.5,10.4,-2.8,18.4,-8.3,-3.2,65,19,6,2,2.1,15,20.4,62.6,-6.7,-13.3,,216
01-Jan,1.6,6.2,-3.3,12.2,-12,-4.2,67,18,43,10,2.7,16.4,20.2,44.03,-7.5,-15.8,,255
01-Feb,2.9,9.5,-2.7,17.5,-9.1,-4,63,15,79.8,37,2.3,14.6,20,51.65,-6.1,-12.5,,282
01-Mar,6.7,12.9,1,22.7,-4.4,-0.7,62,15,25,10,3.1,11.8,21.2,80.33,-2,-8.1,,354
01-Apr,12.6,20.1,4.6,26.6,-2.5,4.3,61,15,31,10,2.8,10.7,16.7,83.59,1.5,-6.9,16.7,389
01-May,18.3,24.2,13.1,28.2,5.8,11.3,66,18,32,12,2.3,8.9,14.8,76.63,9.9,1.2,22.1,264
01-Jun,21.6,26.5,18,31.7,10.6,15.7,70,22,275.5,166,2.1,10.3,15.6,70.6,15.6,6,24.6,602
01-Jul,26,30.5,22.6,35.5,16.8,22.4,81,31,138.5,48,2.3,9.5,15.3,76.92,21.2,14.5,29.9,663
01-Aug,25.7,31,21.4,34.4,15.6,21.2,77,20,97.5,52,1.9,8.7,13.8,82.4,20,14.3,29.8,711
01-Sep,21.6,28.3,15.9,31.3,9.5,14.9,67,28,41.5,28.5,1.8,8.4,12.6,83.75,13.7,6.4,26.4,610
01-Oct,16.3,22.3,10.6,26.6,3.9,10.3,70,22,57.5,21,2.1,10.1,17.3,80.15,8.4,0.8,18.6,380
01-Nov,6.5,14,-0.1,19.7,-5.5,0.8,69,24,20,12.5,1.7,7.4,20.1,84.5,-2.8,-9.3,8.5,232
01-Dec,2.1,7,-2.7,13.5,-8.8,-3.9,65,27,47.5,28.5,2.6,10.7,20.7,70.42,-5.9,-13.6,2.7,305
02-Jan,2.8,7.7,-1.6,17.2,-9.3,-2.4,70,28,53.5,15,3.1,10.4,22.3,59.54,-4.5,-12.8,3.2,312
02-Feb,2.2,9.1,-4.2,13.3,-10.1,-4.3,65,18,18.5,12.5,2.2,10.3,20.5,74.03,-8.2,-14.3,4.3,261
02-Mar,7.1,13.6,0.5,19.3,-5.4,0.7,67,17,60.5,22,2.5,10,18.8,68.55,-2.2,-8.8,9.7,228
02-Apr,12.4,18.4,6.5,25.2,0.4,5.9,68,16,127,46.5,3.1,11.9,22.8,65.85,4.3,-1.7,16.6,215
02-May,16.1,22,11.6,27.8,8.1,10.7,72,17,68,17,2.4,11.6,17.7,59.83,9.5,4,20,310
02-Jun,20.7,26.5,15.6,30.7,12.3,14.2,69,27,107,41,2.4,11.8,18.3,71.2,13.4,10.1,25.7,330
02-Jul,23.4,27.7,20.5,33.9,17.7,19.5,79,13,343.5,114,2.5,15.6,23.8,56.74,19.4,16.5,26.3,361
02-Aug,23.9,27.9,21,32.7,18.6,20.2,81,49,563.5,173,2.2,20.5,33.5,55.57,20.1,16.1,27.5,689
02-Sep,20.4,27,14.9,31.2,9.1,15.1,74,28,100.5,60,1.6,12.3,20.3,76.24,14,8.5,24.7,871
02-Oct,14,20.8,7.6,27.2,-3.2,7.4,67,21,36.5,16.5,2,10.4,21.3,68.63,6,-4.1,16.2,494
02-Nov,6.4,12.7,-0.3,20,-5.6,-0.5,64,21,24.5,7.5,2.4,10.1,24.7,72.84,-2.9,-8.8,7.1,406
02-Dec,4.2,9.5,-1,15.8,-7.4,-2,66,24,31,9,2.2,11.8,20.3,55.92,-4.2,-11.8,3.6,692
03-Jan,0.5,5.4,-4.4,14,-14.1,-5.7,64,18,44.5,24.5,2.6,11,22.7,63.43,-7.1,-15.8,0.1,716
03-Feb,3.9,9.1,-1.1,13.8,-7,-2.4,65,26,55,28.5,2.2,8.5,17.2,61.47,-4.3,-10,3.6,733
03-Mar,6.7,12,1.4,19.6,-2.5,-0.3,63,20,97,37,2.5,9.7,20.2,64.89,-1,-6.5,7.9,1043
03-Apr,12.8,18.5,7.3,24.5,-0.2,5.8,65,18,194,39,3,11,19.3,59.42,5.3,-3.2,14.9,986
03-May,17.8,23,13.2,27.7,6.4,13.1,75,28,220.5,78.5,2.7,12.6,18.7,59.21,11.4,5,21.4,652
03-Jun,21.1,25.9,16.9,29.5,11.5,16.3,75,32,151,41.5,2.3,8.6,14.3,60.38,15.6,9.3,25.2,361
03-Jul,22.9,26.1,20.5,31.1,16,20.1,84,58,366.5,45,2.7,10.6,17.7,44.26,19.8,14.1,25.4,518
03-Aug,24.7,28.6,21.3,31.8,15.5,21.5,83,48,282,57,2.1,10.9,21.8,61.27,20.6,14.2,28.1,653
03-Sep,22,27.4,17.3,31.7,10.3,18,79,38,215.5,135,1.5,16.8,28.6,70.21,16.6,8.6,25.9,836
03-Oct,14.6,21.4,8.3,27.2,1.8,7.9,66,26,34,21.5,1.7,9,20.2,78.78,7.3,1.3,17.7,847
03-Nov,11.3,16.5,6.1,24.5,-4.5,6,70,22,62.5,20,1.9,11.4,23.2,54.94,5,-5.9,11.9,599
03-Dec,3.9,8.8,-0.8,15.8,-7,-1.7,67,21,17,5.5,1.9,9.5,23.8,60.04,-2.3,-8.1,4.1,387
04-Jan,0.8,6.5,-4.2,12.3,-13.3,-4.8,69,23,33.5,16,1.5,9.6,17.8,71.85,-5.5,-14.4,1.7,296
04-Feb,4.1,10.4,-2.1,20.2,-9,-2.2,66,15,43.5,23,2.7,11.7,20.7,70.62,-3.6,-10.5,4.9,271
04-Mar,6.7,13.5,0,21.2,-4.8,-0.8,62,15,50.7,24,2.5,12.3,20.5,59.63,-1.3,-6.6,8.6,354
04-Apr,12.1,19.2,4.6,27.1,-2,4.6,64,13,60,31,2.2,10.8,18,56.73,3.8,-3.5,15.2,416
04-May,17.1,22,12.1,27.3,4.9,11.3,70,23,111.5,21.5,2.4,11,17.7,43.51,11.1,4.1,20,327
04-Jun,21.6,26.7,16.9,30.6,8.8,14.9,67,19,192,69,1.9,9.9,16.5,43.78,16.2,7.6,25.2,340
04-Jul,25.6,29.6,22.6,34.5,18.7,20.9,75,49,312.5,176,2.8,16.1,25.5,45.47,22.1,18.5,29.8,655
04-Aug,25.9,31,22,35.5,17,20.8,74,41,428.5,303,1.9,8.4,15.1,57.97,21.5,16.3,31.3,1206
04-Sep,22.1,27.1,17.9,30.2,11.1,16,69,28,274.5,107.5,2.1,10.8,20.2,39.61,17.4,10.6,24.5,861
04-Oct,15.1,22.5,8,26.8,1.6,6.3,60,17,0.5,0.5,1.8,8,17.2,71.88,7,0.5,18.4,395
04-Nov,9.8,16.9,3.1,22.7,-1.8,4.1,70,18,57,32,1.9,10.4,21.6,62.24,2.2,-2.7,10.1,278
04-Dec,5.3,10.9,-0.4,19.2,-4.5,-1.1,65,18,29.5,23.5,2.3,10.1,24.7,54.5,-2.3,-6,4.9,249
05-Jan,0.9,5.2,-2.9,11.5,-7.3,-6,61,28,21.8,10.5,2.2,10.4,18,49.71,-5,-9.3,1.2,240
05-Feb,1.3,5.8,-2.8,12.3,-7,-4.9,65,26,38.1,11.5,2.9,10.7,18.7,49.01,-3.8,-7.9,2.5,289
05-Mar,5,11,-0.8,19.6,-7.1,-0.9,67,22,68.4,18,2.9,12.2,23.6,61.84,-2.4,-8.1,7.5,319
05-Apr,12.6,19.3,5.9,25.7,-2,5.4,64,15,98,28.5,3,13.6,21.7,64.99,4,-5.4,16.6,358
05-May,17.1,23.7,11,30,5.5,10.6,68,20,84.5,56.5,2.7,12.6,22,64.73,8.9,3.9,22.9,309
05-Jun,22.6,27.8,18.5,31.7,13.8,18.9,80,34,139,47.5,2.6,11.5,20,52.68,16.8,10.5,27.6,296
05-Jul,25.3,29.8,22.1,34.7,18.8,22.4,84,49,225.5,79,2.2,10.1,21.1,41.23,21.6,18.2,29.3,479
05-Aug,25.8,30.1,22.6,34.2,16.3,22.4,82,48,363.5,141.5,2.8,13.1,21.7,49.28,22,15.8,29.6,588
05-Sep,23.4,28.5,19.3,33.7,12.8,19.4,79,41,26,11,2.7,9.5,22.8,49.15,18.4,12.3,27.5,909
05-Oct,15.4,22.6,8.7,29.7,0.8,9.9,72,23,15,9.5,2,7.8,19.7,57.18,7.3,-0.6,18.8,994
05-Nov,9.7,16.4,3.1,25,-2.2,3.7,69,16,77.5,31,2.3,9.9,17.5,61.74,1.3,-4.9,11.2,676
05-Dec,0.1,5.1,-4.8,16.2,-12.1,-4.3,75,26,59,27.5,2.4,13.5,27.7,54.13,-6.3,-13.5,1.5,711
06-Jan,2.1,7.1,-2.7,13.3,-8.3,-2.6,73,28,16,8.5,2.5,10.4,18.3,47.27,-4.6,-10.6,3.2,611
06-Feb,1.9,7.6,-3.3,15.3,-8.8,-3.4,71,10,40,11.5,2.9,11.8,23.7,51.68,-4.8,-10,3.7,678
06-Mar,6.5,12.7,-0.2,19.2,-7,-0.1,66,17,29.5,15.5,2.9,12.4,30.3,64.3,-2,-8.8,9.7,840
06-Apr,11.1,16.6,5.1,22.2,-0.6,6,73,16,121,30,3.3,12,24.7,50.45,3.5,-0.8,14.3,794
06-May,16.5,22.1,11.7,29,6.4,12.3,78,26,234.5,79,2.8,9.4,18,40.77,10.6,5.1,20.2,599
06-Jun,20.9,26,16.9,31.1,12.8,16.8,79,29,257,91,2.4,10.7,16.5,47.05,15.8,11.1,25.1,334
06-Jul,24,27.5,21.5,31.7,17.5,21.2,84,57,362,116,3.2,19.6,32.2,33.34,21.2,17.3,26.9,403
06-Aug,26.8,32,22.9,34.7,21,22.5,79,41,136,42,1.7,8.6,20.1,64.33,22.5,20.5,33.2,953
06-Sep,19.6,25.4,14.5,29.8,10.1,15,76,28,78,33.5,1.7,7.2,14,52,13.8,8.8,24.1,1070
06-Oct,16.5,24.7,9.9,28.1,2.7,11.9,77,21,38.5,25,1.6,9.2,17.5,64.61,8.9,2.2,20.2,384
06-Nov,10.6,16.2,4.6,22.8,-1.2,4.4,67,21,33,17,2.5,10.5,19.1,51.44,3.2,-3.5,11.6,302
